year,month,dong,num,code,name,cost,Name
2022,1,가정동,71,G,도매 및 소매업(45-47),139056700,도매
2022,1,가정동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),11294100,협회
2022,1,가정동,67,C,제조업(10-34),34390500,제조업
2022,1,가정동,73,I,숙박 및 음식점업(55-56),268942300,숙박
2022,1,가정동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),1594500,사업시설
2022,1,가정동,80,P,교육 서비스업(85),88592600,교육
2022,1,가정동,81,Q,보건업 및 사회복지 서비스업(86-87),1638200,보건업
2022,1,갑동,71,G,도매 및 소매업(45-47),2047600400,도매
2022,1,갑동,73,I,숙박 및 음식점업(55-56),306814700,숙박
2022,1,갑동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),81144100,협회
2022,1,계산동,71,G,도매 및 소매업(45-47),691757200,도매
2022,1,계산동,73,I,숙박 및 음식점업(55-56),1195592800,숙박
2022,1,계산동,76,L,부동산업(68),12221800,부동산업
2022,1,계산동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),29954400,사업시설
2022,1,계산동,81,Q,보건업 및 사회복지 서비스업(86-87),49732800,보건업
2022,1,계산동,67,C,제조업(10-34),13709300,제조업
2022,1,계산동,80,P,교육 서비스업(85),149842200,교육
2022,1,계산동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),79427000,예술
2022,1,계산동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),123730800,협회
2022,1,관평동,67,C,제조업(10-34),454779200,제조업
2022,1,관평동,70,F,건설업(41-42),710600,건설업
2022,1,관평동,73,I,숙박 및 음식점업(55-56),4575974700,숙박
2022,1,관평동,74,J,정보통신업(58-63),43253900,정보통신업
2022,1,관평동,76,L,부동산업(68),25016700,부동산업
2022,1,관평동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),118383300,사업시설
2022,1,관평동,79,O,공공 행정  국방 및 사회보장 행정(84),13251700,공공
2022,1,관평동,81,Q,보건업 및 사회복지 서비스업(86-87),1269037300,보건업
2022,1,관평동,71,G,도매 및 소매업(45-47),29522203200,도매
2022,1,관평동,72,H,운수 및 창고업(49-52),19096400,운수
2022,1,관평동,77,M,전문  과학 및 기술 서비스업(70-73),48242600,전문
2022,1,관평동,80,P,교육 서비스업(85),798215900,교육
2022,1,관평동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),196681600,예술
2022,1,관평동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),805479400,협회
2022,1,교촌동,80,P,교육 서비스업(85),102619300,교육
2022,1,교촌동,81,Q,보건업 및 사회복지 서비스업(86-87),13254900,보건업
2022,1,교촌동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),632300,예술
2022,1,교촌동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),62917500,협회
2022,1,교촌동,67,C,제조업(10-34),2307700,제조업
2022,1,교촌동,71,G,도매 및 소매업(45-47),618044800,도매
2022,1,교촌동,73,I,숙박 및 음식점업(55-56),57787100,숙박
2022,1,구성동,72,H,운수 및 창고업(49-52),15825900,운수
2022,1,구성동,73,I,숙박 및 음식점업(55-56),318196800,숙박
2022,1,구성동,71,G,도매 및 소매업(45-47),127654000,도매
2022,1,구성동,80,P,교육 서비스업(85),35500800,교육
2022,1,구성동,81,Q,보건업 및 사회복지 서비스업(86-87),8947800,보건업
2022,1,구성동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),7635600,협회
2022,1,구암동,70,F,건설업(41-42),3241200,건설업
2022,1,구암동,72,H,운수 및 창고업(49-52),19808800,운수
2022,1,구암동,79,O,공공 행정  국방 및 사회보장 행정(84),24504600,공공
2022,1,구암동,80,P,교육 서비스업(85),170417600,교육
2022,1,구암동,81,Q,보건업 및 사회복지 서비스업(86-87),485621300,보건업
2022,1,구암동,67,C,제조업(10-34),38996100,제조업
2022,1,구암동,71,G,도매 및 소매업(45-47),4894616100,도매
2022,1,구암동,73,I,숙박 및 음식점업(55-56),1652027200,숙박
2022,1,구암동,77,M,전문  과학 및 기술 서비스업(70-73),749700,전문
2022,1,구암동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),35878900,사업시설
2022,1,구암동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),106542500,예술
2022,1,구암동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),833906500,협회
2022,1,궁동,67,C,제조업(10-34),103793400,제조업
2022,1,궁동,71,G,도매 및 소매업(45-47),1839750400,도매
2022,1,궁동,73,I,숙박 및 음식점업(55-56),2219394700,숙박
2022,1,궁동,77,M,전문  과학 및 기술 서비스업(70-73),29850700,전문
2022,1,궁동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),237736600,예술
2022,1,궁동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),395321000,협회
2022,1,궁동,72,H,운수 및 창고업(49-52),8535200,운수
2022,1,궁동,76,L,부동산업(68),94893100,부동산업
2022,1,궁동,80,P,교육 서비스업(85),257816200,교육
2022,1,궁동,81,Q,보건업 및 사회복지 서비스업(86-87),26191700,보건업
2022,1,노은동,77,M,전문  과학 및 기술 서비스업(70-73),28349400,전문
2022,1,노은동,79,O,공공 행정  국방 및 사회보장 행정(84),7935100,공공
2022,1,노은동,67,C,제조업(10-34),72619400,제조업
2022,1,노은동,71,G,도매 및 소매업(45-47),9804525400,도매
2022,1,노은동,72,H,운수 및 창고업(49-52),560600,운수
2022,1,노은동,73,I,숙박 및 음식점업(55-56),1012585900,숙박
2022,1,노은동,80,P,교육 서비스업(85),200227000,교육
2022,1,노은동,81,Q,보건업 및 사회복지 서비스업(86-87),2622160400,보건업
2022,1,노은동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),101519600,예술
2022,1,노은동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),591130300,협회
2022,1,대정동,70,F,건설업(41-42),14054800,건설업
2022,1,대정동,71,G,도매 및 소매업(45-47),23865740400,도매
2022,1,대정동,77,M,전문  과학 및 기술 서비스업(70-73),3785500,전문
2022,1,대정동,80,P,교육 서비스업(85),158335300,교육
2022,1,대정동,81,Q,보건업 및 사회복지 서비스업(86-87),1355451000,보건업
