이용년,이용월,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,지수_이용건수,지수_이용금액
2021,01,11,서울특별시,11170,용산구,1117012900,이촌동,G,도매 및 소매업(45-47),100.0,100.0
2021,01,11,서울특별시,11170,용산구,1117012900,이촌동,I,숙박 및 음식점업(55-56),100.0,100.0
2021,01,11,서울특별시,11350,노원구,1135010300,공릉동,I,숙박 및 음식점업(55-56),800.0,1424.54
2021,01,28,인천광역시,28185,연수구,2818510600,송도동,G,도매 및 소매업(45-47),100.0,100.0
2021,01,30,대전광역시,30110,동구,3011010200,인동,G,도매 및 소매업(45-47),101.64,77.14
2021,01,30,대전광역시,30110,동구,3011010200,인동,I,숙박 및 음식점업(55-56),1837.5,1470.62
2021,01,30,대전광역시,30110,동구,3011010300,효동,G,도매 및 소매업(45-47),61.11,45.53
2021,01,30,대전광역시,30110,동구,3011010300,효동,I,숙박 및 음식점업(55-56),251.61,366.97
2021,01,30,대전광역시,30110,동구,3011010400,천동,G,도매 및 소매업(45-47),166.27,126.58
2021,01,30,대전광역시,30110,동구,3011010400,천동,I,숙박 및 음식점업(55-56),4440.0,3398.71
2021,01,30,대전광역시,30110,동구,3011010400,천동,Q,보건업 및 사회복지 서비스업(86-87),100.0,100.0
2021,01,30,대전광역시,30110,동구,3011010500,가오동,G,도매 및 소매업(45-47),2942.86,4158.31
2021,01,30,대전광역시,30110,동구,3011010500,가오동,I,숙박 및 음식점업(55-56),3225.0,2703.1
2021,01,30,대전광역시,30110,동구,3011010600,신흥동,G,도매 및 소매업(45-47),380.0,194.44
2021,01,30,대전광역시,30110,동구,3011010600,신흥동,I,숙박 및 음식점업(55-56),2450.0,2684.04
2021,01,30,대전광역시,30110,동구,3011010700,판암동,G,도매 및 소매업(45-47),223.98,223.63
2021,01,30,대전광역시,30110,동구,3011010700,판암동,I,숙박 및 음식점업(55-56),4146.67,2594.6
2021,01,30,대전광역시,30110,동구,3011010900,용운동,G,도매 및 소매업(45-47),14100.0,6102.33
2021,01,30,대전광역시,30110,동구,3011010900,용운동,I,숙박 및 음식점업(55-56),4733.33,4457.07
2021,01,30,대전광역시,30110,동구,3011010900,용운동,J,정보통신업(58-63),100.0,100.0
2021,01,30,대전광역시,30110,동구,3011011000,대동,G,도매 및 소매업(45-47),4742.86,3007.8
2021,01,30,대전광역시,30110,동구,3011011000,대동,I,숙박 및 음식점업(55-56),1101.72,717.45
2021,01,30,대전광역시,30110,동구,3011011000,대동,Q,보건업 및 사회복지 서비스업(86-87),90.0,41.7
2021,01,30,대전광역시,30110,동구,3011011100,자양동,G,도매 및 소매업(45-47),170.4,116.59
2021,01,30,대전광역시,30110,동구,3011011100,자양동,I,숙박 및 음식점업(55-56),1175.0,899.28
2021,01,30,대전광역시,30110,동구,3011011400,가양동,G,도매 및 소매업(45-47),171.26,178.82
2021,01,30,대전광역시,30110,동구,3011011400,가양동,I,숙박 및 음식점업(55-56),2034.55,1535.82
2021,01,30,대전광역시,30110,동구,3011011400,가양동,J,정보통신업(58-63),46.15,12.71
2021,01,30,대전광역시,30110,동구,3011011400,가양동,Q,보건업 및 사회복지 서비스업(86-87),75.0,4.07
2021,01,30,대전광역시,30110,동구,3011011400,가양동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),333.33,154.01
2021,01,30,대전광역시,30110,동구,3011011500,용전동,G,도매 및 소매업(45-47),9637.5,47520.88
2021,01,30,대전광역시,30110,동구,3011011500,용전동,I,숙박 및 음식점업(55-56),1728.85,1374.29
2021,01,30,대전광역시,30110,동구,3011011500,용전동,Q,보건업 및 사회복지 서비스업(86-87),140.0,152.49
2021,01,30,대전광역시,30110,동구,3011011500,용전동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),60.0,53.32
2021,01,30,대전광역시,30110,동구,3011011600,성남동,G,도매 및 소매업(45-47),5766.67,6160.31
2021,01,30,대전광역시,30110,동구,3011011600,성남동,I,숙박 및 음식점업(55-56),4977.78,1848.69
2021,01,30,대전광역시,30110,동구,3011011700,홍도동,G,도매 및 소매업(45-47),180.49,147.36
2021,01,30,대전광역시,30110,동구,3011011700,홍도동,I,숙박 및 음식점업(55-56),126.82,132.36
2021,01,30,대전광역시,30110,동구,3011011800,삼성동,G,도매 및 소매업(45-47),1740.0,5493.17
2021,01,30,대전광역시,30110,동구,3011011800,삼성동,I,숙박 및 음식점업(55-56),937.25,684.94
2021,01,30,대전광역시,30110,동구,3011011800,삼성동,J,정보통신업(58-63),1171.43,1272.65
