이용년,이용월,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,지수_이용건수,지수_이용금액
2022,04,11,서울특별시,11200,성동구,1120010700,행당동,G,도매 및 소매업(45-47),65.52,54.18
2022,04,11,서울특별시,11200,성동구,1120010700,행당동,I,숙박 및 음식점업(55-56),106.45,149.49
2022,04,11,서울특별시,11350,노원구,1135010300,공릉동,I,숙박 및 음식점업(55-56),900.0,1896.3
2022,04,11,서울특별시,11470,양천구,1147010100,신정동,G,도매 및 소매업(45-47),118.75,167.95
2022,04,11,서울특별시,11470,양천구,1147010100,신정동,I,숙박 및 음식점업(55-56),169.23,196.28
2022,04,11,서울특별시,11470,양천구,1147010200,목동,G,도매 및 소매업(45-47),247.83,254.3
2022,04,11,서울특별시,11470,양천구,1147010200,목동,I,숙박 및 음식점업(55-56),161.76,81.11
2022,04,11,서울특별시,11620,관악구,1162010100,봉천동,I,숙박 및 음식점업(55-56),100.0,100.0
2022,04,11,서울특별시,11620,관악구,1162010200,신림동,I,숙박 및 음식점업(55-56),40.91,98.99
2022,04,11,서울특별시,11680,강남구,1168010600,대치동,I,숙박 및 음식점업(55-56),29.27,26.97
2022,04,26,부산광역시,26470,연제구,2647010100,거제동,G,도매 및 소매업(45-47),86.36,104.65
2022,04,26,부산광역시,26470,연제구,2647010100,거제동,I,숙박 및 음식점업(55-56),147.06,192.8
2022,04,28,인천광역시,28200,남동구,2820010100,구월동,G,도매 및 소매업(45-47),171.43,125.77
2022,04,28,인천광역시,28200,남동구,2820010100,구월동,I,숙박 및 음식점업(55-56),200.0,165.94
2022,04,30,대전광역시,30110,동구,3011010200,인동,G,도매 및 소매업(45-47),298.36,173.99
2022,04,30,대전광역시,30110,동구,3011010200,인동,I,숙박 및 음식점업(55-56),2712.5,2622.48
2022,04,30,대전광역시,30110,동구,3011010300,효동,G,도매 및 소매업(45-47),111.11,83.29
2022,04,30,대전광역시,30110,동구,3011010300,효동,I,숙박 및 음식점업(55-56),164.52,377.54
2022,04,30,대전광역시,30110,동구,3011010400,천동,G,도매 및 소매업(45-47),306.02,221.11
2022,04,30,대전광역시,30110,동구,3011010400,천동,I,숙박 및 음식점업(55-56),8200.0,7539.69
2022,04,30,대전광역시,30110,동구,3011010400,천동,Q,보건업 및 사회복지 서비스업(86-87),400.0,624.55
2022,04,30,대전광역시,30110,동구,3011010500,가오동,G,도매 및 소매업(45-47),4828.57,5234.37
