year,month,dong,num,code,name,count,cost,Name
2021,10,원내동,67,C,제조업(10-34),300,583.36,제조업
2021,10,원내동,71,G,도매 및 소매업(45-47),19398.94,22475.86,도매
2021,10,원내동,73,I,숙박 및 음식점업(55-56),10338.46,10408.65,숙박
2021,10,원내동,77,M,전문  과학 및 기술 서비스업(70-73),150,172.21,전문
2021,10,원내동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),50,208.44,사업시설
2021,10,원내동,80,P,교육 서비스업(85),388,190.58,교육
2021,10,원내동,81,Q,보건업 및 사회복지 서비스업(86-87),28933.33,85677.85,보건업
2021,10,원내동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),4670,2125.65,예술
2021,10,원내동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),353.16,361.22,협회
2021,10,교촌동,67,C,제조업(10-34),58.33,87.29,제조업
2021,10,교촌동,71,G,도매 및 소매업(45-47),5243.79,4820.72,도매
2021,10,교촌동,73,I,숙박 및 음식점업(55-56),4052,3370.5,숙박
2021,10,교촌동,80,P,교육 서비스업(85),127.27,81.59,교육
2021,10,교촌동,81,Q,보건업 및 사회복지 서비스업(86-87),186.21,94.64,보건업
2021,10,교촌동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),2166.67,93.83,예술
2021,10,교촌동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),3985.71,1727.98,협회
2021,10,대정동,67,C,제조업(10-34),127.27,218.6,제조업
2021,10,대정동,71,G,도매 및 소매업(45-47),5402.14,5929.57,도매
2021,10,대정동,73,I,숙박 및 음식점업(55-56),3603.53,3199.03,숙박
2021,10,대정동,80,P,교육 서비스업(85),132.79,102.81,교육
2021,10,대정동,81,Q,보건업 및 사회복지 서비스업(86-87),339.02,228.51,보건업
2021,10,대정동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),6000,15103.29,협회
2021,10,용계동,71,G,도매 및 소매업(45-47),301.94,171.13,도매
2021,10,용계동,73,I,숙박 및 음식점업(55-56),152.73,199.09,숙박
2021,10,학하동,71,G,도매 및 소매업(45-47),1865.38,1899.8,도매
2021,10,학하동,73,I,숙박 및 음식점업(55-56),3336.36,4199.46,숙박
2021,10,학하동,81,Q,보건업 및 사회복지 서비스업(86-87),155.56,27.68,보건업
2021,10,학하동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),140,223.31,협회
2021,10,계산동,67,C,제조업(10-34),127.78,161.87,제조업
2021,10,계산동,71,G,도매 및 소매업(45-47),3697.19,3396.6,도매
2021,10,계산동,73,I,숙박 및 음식점업(55-56),2388.78,1822.67,숙박
2021,10,계산동,74,J,정보통신업(58-63),11.76,45.82,정보통신업
2021,10,계산동,77,M,전문  과학 및 기술 서비스업(70-73),57.14,40.86,전문
2021,10,계산동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),28,4.14,사업시설
2021,10,계산동,80,P,교육 서비스업(85),888.89,759.25,교육
2021,10,계산동,81,Q,보건업 및 사회복지 서비스업(86-87),11485.71,20175.71,보건업
2021,10,계산동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),383.33,78.75,예술
2021,10,계산동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),2215.79,1489.6,협회
2021,10,방동,71,G,도매 및 소매업(45-47),200,100.11,도매
2021,10,봉명동,67,C,제조업(10-34),476.09,259.99,제조업
2021,10,봉명동,71,G,도매 및 소매업(45-47),2503.15,1732.64,도매
2021,10,봉명동,72,H,운수 및 창고업(49-52),3800,5405.88,운수
2021,10,봉명동,73,I,숙박 및 음식점업(55-56),1828.2,1417.4,숙박
2021,10,봉명동,74,J,정보통신업(58-63),1254.29,983.95,정보통신업
2021,10,봉명동,77,M,전문  과학 및 기술 서비스업(70-73),1300,370.96,전문
2021,10,봉명동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),1775,611.47,사업시설
2021,10,봉명동,79,O,공공 행정  국방 및 사회보장 행정(84),1500,2760.66,공공
2021,10,봉명동,80,P,교육 서비스업(85),684.21,336.59,교육
2021,10,봉명동,81,Q,보건업 및 사회복지 서비스업(86-87),2107.49,772.83,보건업
2021,10,봉명동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),4327.5,506.2,예술
2021,10,봉명동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),1578.37,642.08,협회
2021,10,구암동,67,C,제조업(10-34),288.89,185.7,제조업
2021,10,구암동,71,G,도매 및 소매업(45-47),6356.33,5870.06,도매
2021,10,구암동,73,I,숙박 및 음식점업(55-56),3395.12,3317.54,숙박
2021,10,구암동,74,J,정보통신업(58-63),5.38,3.7,정보통신업
2021,10,구암동,77,M,전문  과학 및 기술 서비스업(70-73),116.67,260.41,전문
2021,10,구암동,79,O,공공 행정  국방 및 사회보장 행정(84),100,48.31,공공
2021,10,구암동,80,P,교육 서비스업(85),300,155.83,교육
2021,10,구암동,81,Q,보건업 및 사회복지 서비스업(86-87),276.13,162.26,보건업
2021,10,구암동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),1476.19,109.25,예술
2021,10,구암동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),260.53,149.86,협회
2021,10,덕명동,67,C,제조업(10-34),166.67,58.86,제조업
2021,10,덕명동,71,G,도매 및 소매업(45-47),4703.45,2887.6,도매
2021,10,덕명동,72,H,운수 및 창고업(49-52),64.29,17.68,운수
2021,10,덕명동,73,I,숙박 및 음식점업(55-56),2892.53,2257.37,숙박
2021,10,덕명동,74,J,정보통신업(58-63),154.45,37.71,정보통신업
2021,10,덕명동,77,M,전문  과학 및 기술 서비스업(70-73),88.89,3.48,전문
2021,10,덕명동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),1433.33,287.79,사업시설
2021,10,덕명동,80,P,교육 서비스업(85),742.86,389.53,교육
2021,10,덕명동,81,Q,보건업 및 사회복지 서비스업(86-87),7612.5,18678.61,보건업
2021,10,덕명동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),4130,169.74,예술
2021,10,덕명동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),4950,948.75,협회
2021,10,원신흥동,67,C,제조업(10-34),645.45,506.65,제조업
2021,10,원신흥동,71,G,도매 및 소매업(45-47),3166.85,2492.68,도매
2021,10,원신흥동,72,H,운수 및 창고업(49-52),366.67,1523.46,운수
2021,10,원신흥동,73,I,숙박 및 음식점업(55-56),2138.08,1727.62,숙박
2021,10,원신흥동,74,J,정보통신업(58-63),174.42,365.34,정보통신업
2021,10,원신흥동,77,M,전문  과학 및 기술 서비스업(70-73),120.69,186.8,전문
2021,10,원신흥동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),55.56,42.84,사업시설
2021,10,원신흥동,79,O,공공 행정  국방 및 사회보장 행정(84),1466.67,7647.62,공공
2021,10,원신흥동,80,P,교육 서비스업(85),1253.85,463.67,교육
2021,10,원신흥동,81,Q,보건업 및 사회복지 서비스업(86-87),2973.33,1313.92,보건업
2021,10,원신흥동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),3250,877.57,예술
2021,10,원신흥동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),2233.93,1285.29,협회
2021,10,상대동,67,C,제조업(10-34),537.93,457.32,제조업
2021,10,상대동,71,G,도매 및 소매업(45-47),1748.48,1291.28,도매
2021,10,상대동,72,H,운수 및 창고업(49-52),1633.33,2674.44,운수
2021,10,상대동,73,I,숙박 및 음식점업(55-56),1446.45,1100.39,숙박
2021,10,상대동,74,J,정보통신업(58-63),272.73,350.22,정보통신업
2021,10,상대동,77,M,전문  과학 및 기술 서비스업(70-73),180,186.25,전문
2021,10,상대동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),119.13,200.12,사업시설
2021,10,상대동,79,O,공공 행정  국방 및 사회보장 행정(84),2266.67,7500,공공
2021,10,상대동,80,P,교육 서비스업(85),910.11,540.45,교육
2021,10,상대동,81,Q,보건업 및 사회복지 서비스업(86-87),1579.89,594.54,보건업
2021,10,상대동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),2747.62,300.78,예술
2021,10,상대동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),1159.09,603.47,협회
2021,10,복용동,71,G,도매 및 소매업(45-47),192.74,161.78,도매
2021,10,복용동,73,I,숙박 및 음식점업(55-56),175.36,187.56,숙박
2021,10,복용동,81,Q,보건업 및 사회복지 서비스업(86-87),112.5,75.21,보건업
2021,10,복용동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),50,112.65,협회
2021,10,장대동,67,C,제조업(10-34),84.44,64.1,제조업
2021,10,장대동,71,G,도매 및 소매업(45-47),4081.8,2754.2,도매
2021,10,장대동,72,H,운수 및 창고업(49-52),175,353.09,운수
2021,10,장대동,73,I,숙박 및 음식점업(55-56),2773.89,1987.72,숙박
2021,10,장대동,74,J,정보통신업(58-63),111.94,59.22,정보통신업
2021,10,장대동,77,M,전문  과학 및 기술 서비스업(70-73),66.67,117.9,전문
2021,10,장대동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),262.86,219.62,사업시설
2021,10,장대동,79,O,공공 행정  국방 및 사회보장 행정(84),200,124.22,공공
2021,10,장대동,80,P,교육 서비스업(85),1377.78,561.89,교육
2021,10,장대동,81,Q,보건업 및 사회복지 서비스업(86-87),7705.88,1913.95,보건업
2021,10,장대동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),877.27,90.98,예술
2021,10,장대동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),2886.96,1934.99,협회
2021,10,갑동,71,G,도매 및 소매업(45-47),130.56,109.5,도매
2021,10,갑동,73,I,숙박 및 음식점업(55-56),58.97,85.04,숙박
2021,10,노은동,67,C,제조업(10-34),372.73,216.14,제조업
2021,10,노은동,71,G,도매 및 소매업(45-47),1393.62,920.95,도매
2021,10,노은동,72,H,운수 및 창고업(49-52),100,90.79,운수
2021,10,노은동,73,I,숙박 및 음식점업(55-56),1210.87,1060.59,숙박
2021,10,노은동,74,J,정보통신업(58-63),821.43,452.62,정보통신업
2021,10,노은동,77,M,전문  과학 및 기술 서비스업(70-73),700,1359.07,전문
2021,10,노은동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),2080,572.02,사업시설
2021,10,노은동,79,O,공공 행정  국방 및 사회보장 행정(84),1700,5295.04,공공
